subj_idx,stim,response,rt,condition
2013,0.5,1,1.278,-1
2013,1,1,1.7223,-1
2013,0.5,0,-1.564,1
2013,-1,0,-2.224,1
2013,1,1,1.7251,1
2013,0.5,1,1.335,1
2013,-5,0,-1.3057,-1
2013,0.5,1,1.1135,-1
2013,0.5,1,1.4489,1
2013,0.5,1,0.85052,1
2013,-0.5,1,5.2658,1
2013,0,1,2.001,-1
2013,-1,0,-1.7061,-1
2013,0,1,2.7318,-1
2013,1,1,1.9263,1
2013,-1,0,-1.2114,-1
2013,0.5,1,1.0875,1
2013,-1,0,-1.4102,-1
2013,0,1,4.0883,1
2013,-0.5,1,1.479,1
2013,0.5,1,0.82823,1
2013,1,1,1.0844,-1
2013,-0.5,1,3.4275,-1
2013,-0.5,1,1.2366,1
2013,-1,0,-1.1871,1
2013,-5,0,-0.78414,1
2013,-0.5,0,-0.66708,-1
2013,1,1,2.3532,1
2013,0,1,0.70813,1
2013,0,1,4.9818,1
2013,0.5,0,-0.8263,1
2013,0,1,1.8251,-1
2013,0,0,-1.0167,-1
2013,-0.5,1,1.3968,1
2013,0,1,0.83347,1
2013,1.5,1,1.2745,1
2013,0,1,1.4528,1
2013,0.5,1,1.1869,-1
2013,0.5,0,-1.7897,1
2013,0,1,3.5745,1
2013,-0.5,1,1.6289,-1
2013,-5,0,-0.9088,-1
2013,0.5,1,1.9753,1
2013,5,1,0.96579,-1
2013,0,1,0.93174,-1
2013,0,1,2.7691,1
2013,0.5,1,1.5125,1
2013,-1.5,0,-0.63319,-1
2013,-1,0,-0.79013,1
2013,1,1,3.0991,1
2013,1.5,1,1.3186,1
2013,0,0,-3.5056,-1
2013,0.5,1,0.97415,-1
2013,1,1,3.9566,1
2013,0,1,1.3333,-1
2013,-1.5,0,-3.374,-1
2013,1.5,1,1.9756,1
2013,1,0,-0.72551,-1
2013,0.5,1,1.1996,-1
2013,0.5,1,0.66572,-1
2013,1,1,1.5675,-1
2013,1.5,1,2.8835,-1
2013,0,1,1.0561,1
2013,5,1,1.5717,-1
2013,0.5,1,5.0519,-1
2013,-0.5,0,-1.9169,-1
2013,-1,0,-0.96624,-1
2013,1.5,1,1.5968,-1
